time,price,P_CESS,CESS_remain
12,1.1699999690055847,50.0,122.5
13,1.2599999666213988,-50.0,69.86842105263158
14,1.3499999642372131,50.0,117.36842105263158
15,1.540000033378601,-50.0,64.73684210526315
16,1.1080799706459046,-50.0,12.105263157894726
17,1.0349999725818633,50.0,59.605263157894726
18,1.0799999713897706,50.0,107.10526315789473
19,1.5950000345706938,50.0,154.60526315789474
20,1.6500000357627869,-50.0,101.97368421052632
21,1.5950000345706938,-50.0,49.34210526315789
22,0.973579474208951,50.0,96.84210526315789
23,0.9667350209534169,-50.0,44.210526315789465
0,0.4319999885559082,50.0,91.71052631578947
1,0.4730000102519989,50.0,139.21052631578948
2,0.36899999022483826,-50.0,86.57894736842105
3,0.4290000092983246,50.0,134.07894736842104
4,0.37799998998641965,-50.0,81.44736842105262
5,0.4769999873638153,50.0,128.9473684210526
6,0.5939999842643738,-50.0,76.31578947368418
7,0.9020000195503234,50.0,123.81578947368418
8,0.9900000214576722,-50.0,71.18421052631575
9,1.100000023841858,-50.0,18.552631578947327
10,0.9449999749660493,50.0,66.05263157894733
11,0.9989999735355378,50.0,113.55263157894733
